"Product Name","Product Type","Current QTY","Registration Time","NO. of Variants","In QTY","Total registered QTY"
"EXO - Love Me Right (Korean Ver.)","Album","3","2021-10-03 13:19:30","1","0","0"
"EXO - Love Shot","Album","1","2021-10-10 11:32:50","2","0","0"
"EXO - Official Photocards from EXO Light Stick Ver.3","Photocards","1","2021-11-02 16:20:39","1","0","0"
"EXO - Universe","Album","0","2021-10-15 23:17:53","1","0","0"
"EXO- DON'T FIGHT THE FEELING (Official Poster)","Posters, Prints, & Visual Artwork","5","2021-10-03 16:05:44","1","0","0"
"EXO-K - MAMA","Album","2","2021-10-10 11:58:33","1","0","0"
"GFRIEND - Album [回:LABYRINTH] (Official Poster)","Poster","1","2021-10-15 22:10:05","1","0","0"
"GOT7 - Eyes On You","","1","2022-01-01 14:20:11","1","0","0"
"Hot Chicken Flavor Noodle | Halal [KOREAN SPICY NOODLE]","Noodles","8","2021-11-04 17:49:20","2","0","0"
"Hwa Sa - María (Official Poster)","Posters, Prints, & Visual Artwork","1","2021-10-15 23:12:55","1","0","0"
"HyunA - I'm Not Cool","Album","1","2021-11-06 16:11:09","1","0","0"
"ITZY - 2022 SEASON'S GREETINGS - BEST FRIENDS FOREVER","Album","1","2021-12-25 20:56:32","1","1","2"
"ITZY - Not Shy","Album","0","2021-12-01 14:44:05","3","0","0"
"ITZY - Not Shy- (Pre-order Gifts)","Album","1","2021-12-01 15:32:27","1","0","0"
"ITZY- Not Shy (Official Poster)","Poster","0","2021-11-13 21:31:45","1","0","0"
"IU - Palette","Album","1","2021-10-13 15:50:28","1","0","0"
"IZ*ONE - BLOOM*IZ (Random Ver.)","Album","1","2021-11-25 20:02:45","1","0","0"
"JAY B - SOMO:FUME","Album","1","2021-11-06 16:37:15","1","0","0"
"JENNIE (BLACKPINK) - Solo","Album","1","2021-10-17 17:33:42","1","0","0"
"Junivuni Hair & Scalp Wipes","Cosmetics","25","2021-10-03 11:49:59","1","0","0"
"K-Noodles Box (200 EGP)","Noodles","14","2021-10-17 17:04:25","1","0","0"
"KAI - 'KAI (开) (PHOTO BOOK Ver.)","Album","1","2021-10-22 20:27:52","1","0","0"
"KSHOPINA+EGYPT (BAG)","","95","2021-12-27 15:23:36","12","0","0"
"KSHOPINA+EGYPT (Notebook)","","46","2021-12-26 16:58:09","5","0","0"
"LISA (BLACKPINK) - LALISA (BLACK Ver.)","Album","2","2021-11-05 20:06:44","1","0","0"
"LISA (BLACKPINK) - LALISA (GOLD Ver.)","Album","3","2021-12-05 11:39:34","1","0","0"
"LISA- LALISA (Official Photocards)","Photocards","1","2021-11-18 17:47:07","1","0","0"
"MONSTA X - FANTASIA X (Random Ver.) (Available with Pre-order Gifts)","Album","1","2021-10-15 22:38:17","1","0","0"
"MONSTA X 3rd album- Fatal Love (Official Poster)","Posters, Prints, & Visual Artwork","3","2021-10-13 16:12:13","1","0","0"
"MONSTA X- Fantasia (Official Poster)","Posters, Prints, & Visual Artwork","4","2021-10-13 16:19:37","1","0","0"
"Mr Bibim Spicy Chicken Flavor Noodle | Halal","Noodles","27","2021-09-19 15:37:12","1","0","0"
"NCT - OFFICIAL LIGHT STICK","Music Stand Lights","1","2021-11-11 18:39:47","1","0","0"
"NCT - RESONANCE Pt.1","Album","0","2021-11-11 18:20:30","2","0","0"
"NCT 127 - NCT #127 LIMITLESS (Random Ver.)","Album","3","2021-09-19 13:07:48","1","0","0"
"NCT 127 - NCT #127 Neo Zone","Album","2","2021-09-20 11:49:20","2","0","0"
"NCT 127 - NCT #127 Neo Zone: The Final Round","Album","1","2021-10-10 12:09:10","2","0","0"
"NCT 127 - Regulate (Repackage Album) (Random Ver.)","Album","3","2021-10-10 13:01:11","1","0","0"
"NCT DREAM - DREAM A DREAM Ver.2 (JAEMIN Ver.)","","1","2021-12-27 14:52:34","1","0","0"
"NCT DREAM - Hot Sauce (Photo Book Ver.)","Album","1","2021-10-10 12:23:52","1","0","0"
"NCT DREAM - Reload","Album","1","2021-10-14 13:55:18","2","0","0"
"Neoguri Noddle Seafood Spicy | Halal","Noodles","5","2021-09-19 15:22:16","1","0","0"
"Nongshim Bonara Spicy Cream Carbonara Seafood Flavor Noddle | Halal","Noodles","14","2021-09-19 15:25:58","1","0","0"
"Nongshim Happy Ramyun super Spicy Flavor Noodle | Halal","Noodles","9","2021-09-18 20:08:21","1","0","0"
"Nongshim Happy Spicy Flavor Noodle | Halal","Noodles","14","2021-09-19 15:49:22","1","0","0"
"Nongshim Kimchi Soup Noodle | Halal","Noodles","8","2021-09-19 15:41:30","1","0","0"
"Nongshim Potato Noodle | Halal","Noodles","2","2021-09-19 15:46:11","1","0","0"
"OH MY GIRL - OFFICIAL LIGHT STICK","","1","2021-12-28 12:47:53","1","0","0"
"Photo Wallet (Transparent)","Accessories","0","2021-11-23 14:19:02","3","0","0"
"PHOTOCARD WALLET (Flower shape)","","1","2021-12-27 16:15:12","1","0","0"
